country_code,country,year,slum_pct,urban_pop,slum_population,start_year,end_year,slum_change_total,urban_growth_total,slum_population_change_total
ALB,Albania,2014,10.3,1518154.0,156369.86200000002,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2016,7.8,1494642.0,116582.076,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2018,5.3,1470162.0,77918.586,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2020,2.8,1444795.0,40454.259999999995,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2022,2.7,1418623.0,38302.821,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
DZA,Algeria,2006,30.8,21658728.0,6670888.223999999,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2008,30.8,22944895.0,7067027.66,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2010,30.8,24290813.0,7481570.404,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2012,28.88661,25728190.0,7432001.905359,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2014,24.98121,27265874.0,6811345.2422754,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2016,21.07581,28895912.0,6090047.5108872,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2018,17.17042,30563352.0,5247855.9044784,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2020,13.26502,32174559.0,4267961.6862618,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
DZA,Algeria,2022,13.246,33734939.0,4468530.01994,2006,2022,-17.554000000000002,55.756787748569536,-2202358.2040599994
AND,Andorra,2000,0.0,60598.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2002,0.0,60827.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2004,0.0,67276.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2006,0.0,71132.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2008,0.0,74261.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2010,0.0,71635.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2012,0.0,68097.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2014,0.0,65290.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2016,0.0,63882.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2018,0.0,66524.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2020,0.0,68552.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AND,Andorra,2022,0.0,70742.0,0.0,2000,2022,0.0,16.73982639691079,0.0
AGO,Angola,2000,19.7,8179553.0,1611371.9409999999,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2002,19.7,9165075.0,1805519.775,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2004,19.66039,10238515.0,2012931.9792085,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2006,25.79191,11387473.0,2937046.7874343,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2008,31.92344,12641893.0,4035727.1267191996,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2010,38.05496,14007418.0,5330517.3169328,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2012,44.18648,15486973.0,6843148.227250401,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2014,50.31801,17036081.0,8572216.9411881,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2016,56.44953,18764489.0,10592465.8474017,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2018,62.58105,20616442.0,12901985.876240999,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2020,62.6,22565072.0,14125735.072,2000,2022,43.0,200.82582752382677,13816720.475
AGO,Angola,2022,62.7,24606208.0,15428092.416,2000,2022,43.0,200.82582752382677,13816720.475
ATG,Antigua and Barbuda,2010,2.6463,22198.0,587.425674,2010,2022,3.999999999981796e-05,2.5137399765744664,14.775456400000053
ATG,Antigua and Barbuda,2012,2.6463,22213.0,587.822619,2010,2022,3.999999999981796e-05,2.5137399765744664,14.775456400000053
ATG,Antigua and Barbuda,2014,2.6463,22271.0,589.357473,2010,2022,3.999999999981796e-05,2.5137399765744664,14.775456400000053
ATG,Antigua and Barbuda,2016,2.6463,22424.0,593.406312,2010,2022,3.999999999981796e-05,2.5137399765744664,14.775456400000053
ATG,Antigua and Barbuda,2018,2.6463,22530.0,596.21139,2010,2022,3.999999999981796e-05,2.5137399765744664,14.775456400000053
ATG,Antigua and Barbuda,2020,2.6463,22631.0,598.884153,2010,2022,3.999999999981796e-05,2.5137399765744664,14.775456400000053
ATG,Antigua and Barbuda,2022,2.64634,22756.0,602.2011304,2010,2022,3.999999999981796e-05,2.5137399765744664,14.775456400000053
ARG,Argentina,2000,20.29188,33185952.0,6734053.5566976,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2002,19.56624,34059720.0,6664206.5585280005,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2004,18.84059,34910927.0,6577424.6212693,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2006,18.11494,35780106.0,6481544.7338364,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2008,17.3893,36645376.0,6372374.368768,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2010,16.66365,37569823.0,6260503.8103395,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2012,15.93801,38453227.0,6128679.1645827,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2014,15.2,39322940.0,5977086.88,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2016,14.5,40206401.0,5829928.145,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2018,14.5,40978889.0,5941938.904999999,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2020,14.5,41551256.0,6024932.119999999,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARG,Argentina,2022,14.5,41826509.0,6064843.805,2000,2022,-5.791879999999999,26.036791109684,-669209.7516975999
ARM,Armenia,2000,12.79599,2092402.0,267743.5506798,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2002,12.30696,2071538.0,254943.3530448,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2004,11.81793,2044439.0,241610.3699127,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2006,11.3289,2016226.0,228416.22731400002,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2008,10.83987,1987601.0,215453.3645187,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2010,10.35084,1958733.0,202745.3188572,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2012,9.86181,1945308.0,191842.5788748,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2014,9.37278,1941318.0,181955.4652404,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
ARM,Armenia,2016,8.88375,1932813.0,171706.27488749998,2000,2022,-4.40127,-6.964340504358149,-104325.21538379998
